goos: windows
goarch: amd64
pkg: barn/vm
cpu: AMD Ryzen 9 5950X 16-Core Processor            
BenchmarkVM/tostr_200k-32           	      24	  50092312 ns/op	12808078 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      25	  48171328 ns/op	12808071 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      24	  48804858 ns/op	12808079 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      25	  50321820 ns/op	12808064 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      24	  51064925 ns/op	12808057 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      20	  53678280 ns/op	12808048 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      19	  68374374 ns/op	12808085 B/op	  599912 allocs/op
BenchmarkVM/tostr_200k-32           	      18	  68789667 ns/op	12808073 B/op	  599912 allocs/op
BenchmarkVM/nested_1k-32            	      31	  41964632 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  44058131 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      22	  45741523 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  41556804 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  45763846 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  45269788 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      28	  46492254 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      27	  46355052 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      26	  40747392 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/nested_1k-32            	      36	  33720228 ns/op	    8896 B/op	      11 allocs/op
BenchmarkVM/list_iter_1M-32         	      19	  58578579 ns/op	24013130 B/op	      14 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  55527871 ns/op	24011525 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      20	  56410555 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  62190852 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      20	  55404705 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  54678205 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      19	  53907032 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  53860410 ns/op	24011520 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      20	  54345325 ns/op	24011525 B/op	      13 allocs/op
BenchmarkVM/list_iter_1M-32         	      21	  54097462 ns/op	24011525 B/op	      13 allocs/op
PASS
ok  	barn/vm	119.379s
